brokered_by,price,bed,bath,house_size,status_sold,property_type_large,property_type_medium,property_type_small
82827,1950000,3,3,1861,1,0,1,0
77432,4900000,8,9,9242,1,1,0,0
77432,2700000,5,6,4249,1,1,0,0
28154,695000,2,2,1152,1,0,0,1
77434,1350000,3,2,1511,1,0,1,0
72454,147000,1,1,525,1,0,0,1
105759,495000,3,3,1460,1,0,0,1
38910,215000,1,1,500,1,0,0,1
48919,245000,1,1,597,1,0,0,1
77725,212000,1,1,828,1,0,0,1
37047,1600000,3,3,2713,1,0,1,0
37321,1800000,4,4,2500,1,0,1,0
37321,2890000,8,7,4000,1,1,0,0
46788,560000,2,2,1587,1,0,1,0
48572,485000,2,2,1100,1,0,0,1
3719,395000,2,1,900,1,0,0,1
77432,875000,2,2,1612,1,0,1,0
3719,2700000,4,4,2848,1,0,1,0
2050,725000,2,2,1515,1,0,1,0
77432,1045000,4,4,3527,1,1,0,0
101,375000,3,3,1444,1,0,0,1
64071,875000,3,3,2000,1,0,1,0
46788,1695000,4,4,2980,1,0,1,0
77432,1700000,4,5,2482,1,0,1,0
77432,949000,4,3,1792,1,0,1,0
48572,325000,2,2,953,1,0,0,1
48572,340000,3,2,1284,1,0,0,1
46788,725000,5,4,2238,1,0,1,0
48572,275000,2,2,1838,1,0,1,0
2050,695000,4,3,2524,1,0,1,0
26765,329000,2,1,1045,1,0,0,1
32511,995000,4,3,1500,1,0,1,0
77430,1750000,7,6,3128,1,1,0,0
99732,1825000,4,3,3180,1,1,0,0
103848,198000,2,1,860,1,0,0,1
46788,770000,3,3,1900,1,0,1,0
72216,305000,2,2,900,1,0,0,1
77432,695000,3,2,1289,1,0,0,1
85121,325000,3,2,1771,1,0,1,0
77431,825000,4,3,1547,1,0,1,0
46788,1295000,3,2,1900,1,0,1,0
72454,650000,3,2,1612,1,0,1,0
21485,2200000,5,4,2600,1,0,1,0
101,400000,2,1,1292,1,0,0,1
77432,635000,2,2,1532,1,0,1,0
77432,995000,4,4,2607,1,0,1,0
33447,4900000,8,9,5000,1,1,0,0
77431,850000,7,4,2540,1,0,1,0
96847,1650000,4,4,2366,1,0,1,0
62413,66000,4,1,900,1,0,0,1
15085,87000,2,2,892,1,0,0,1
61711,69900,5,3,300,1,0,0,1
0,499000,3,2,1800,1,0,1,0
22968,239000,2,2,1200,1,0,0,1
22968,219000,1,1,1100,1,0,0,1
79277,225000,2,2,1000,1,0,0,1
22968,170000,1,1,700,1,0,0,1
22968,779000,4,4,2690,1,0,1,0
22968,288000,2,2,1400,1,0,0,1
17348,190000,2,2,1200,1,0,0,1
17348,125000,1,1,800,1,0,0,1
22968,738000,3,2,1897,1,0,1,0
0,229500,1,1,1100,1,0,0,1
34543,398500,2,2,2411,1,0,1,0
29309,329000,2,2,1400,1,0,0,1
22968,369000,2,2,1400,1,0,0,1
22968,575000,2,3,2500,1,0,1,0
17348,998000,3,2,3000,1,1,0,0
34543,449000,2,3,1838,1,0,1,0
22968,188000,1,1,1200,1,0,0,1
22968,285500,1,2,1000,1,0,0,1
3464,130000,2,2,977,1,0,0,1
10890,155000,2,2,880,1,0,0,1
17348,489000,4,2,1812,1,0,1,0
17348,175000,2,2,720,1,0,0,1
34543,359000,2,2,1500,1,0,1,0
22968,979000,5,4,5000,1,1,0,0
22968,799000,3,4,2500,1,0,1,0
34543,369000,2,3,1000,1,0,0,1
22968,162500,1,1,1200,1,0,0,1
22968,799000,5,4,3833,1,1,0,0
22968,329000,2,2,1660,1,0,1,0
17348,239500,1,2,741,1,0,0,1
22968,330000,2,2,1335,1,0,0,1
22968,315000,2,2,1254,1,0,0,1
34543,330000,2,2,1250,1,0,0,1
34543,219000,1,1,1200,1,0,0,1
22968,229000,2,2,900,1,0,0,1
22968,650000,2,1,1543,1,0,1,0
67492,194900,4,2,1700,1,0,1,0
3719,465000,1,2,1247,1,0,0,1
32511,235000,3,3,2129,1,0,1,0
51673,550000,2,2,2094,1,0,1,0
72216,215000,2,2,1110,1,0,0,1
85121,200000,3,1,1200,1,0,0,1
46469,450000,2,2,1300,1,0,0,1
61711,240000,4,3,1790,1,0,1,0
3719,155000,1,1,929,1,0,0,1
85121,120000,3,1,806,1,0,0,1
102922,84900,3,1,950,1,0,0,1
29911,149000,4,4,1475,1,0,0,1
85121,128000,3,2,1170,1,0,0,1
18211,150000,4,2,1791,1,0,1,0
102922,84900,3,1,950,1,0,0,1
102922,44900,3,1,950,1,0,0,1
102922,113000,6,2,2400,1,0,1,0
29911,108000,3,2,510,1,0,0,1
85121,169900,3,2,1500,1,0,1,0
75895,94000,5,2,1200,1,0,0,1
102922,64000,3,1,950,1,0,0,1
49592,68000,3,2,900,1,0,0,1
64071,119500,3,2,1109,1,0,0,1
102922,109900,3,1,950,1,0,0,1
37826,109000,3,2,1100,1,0,0,1
21485,74000,3,1,1100,1,0,0,1
103848,220000,3,1,1500,1,0,1,0
15085,163000,5,3,2473,1,0,1,0
85121,1300000,6,6,5000,1,1,0,0
8373,170000,3,3,1500,1,0,1,0
29911,79000,3,1,688,1,0,0,1
64071,895000,4,5,2703,1,0,1,0
64071,175000,3,2,1200,1,0,0,1
46469,130000,3,3,1296,1,0,0,1
15085,115000,2,1,771,1,0,0,1
64071,329000,3,3,1822,1,0,1,0
64071,165000,3,2,1196,1,0,0,1
64071,650000,4,4,3543,1,1,0,0
101,185000,3,3,1581,1,0,1,0
29911,150000,3,2,430,1,0,0,1
82827,565000,5,4,3000,1,1,0,0
48919,525000,2,2,1184,1,0,0,1
3464,975000,4,3,3426,1,1,0,0
70306,159000,3,2,1500,1,0,1,0
64071,825000,4,4,3226,1,1,0,0
8677,315000,7,5,4429,1,1,0,0
49592,99900,3,1,837,1,0,0,1
103848,260000,3,3,3500,1,1,0,0
102922,99900,3,1,950,1,0,0,1
87436,170000,3,2,1600,1,0,1,0
60139,525000,5,6,3016,1,1,0,0
72216,215000,2,2,1110,1,0,0,1
85121,135000,3,3,1670,1,0,1,0
18211,115000,3,2,1250,1,0,0,1
12325,79900,4,2,1600,1,0,1,0
18211,23000,3,1,718,1,0,0,1
18211,198500,3,3,2015,1,0,1,0
46469,228225,3,3,1260,1,0,0,1
18211,125000,3,2,1137,1,0,0,1
61594,155000,3,2,1126,1,0,0,1
77725,220000,4,3,2200,1,0,1,0
18211,67900,3,1,1057,1,0,0,1
78468,79900,12,8,1000,1,0,0,1
41541,163000,3,2,1178,1,0,0,1
12325,55000,4,2,1100,1,0,0,1
48586,130000,3,2,1075,1,0,0,1
18211,139100,5,3,1202,1,0,0,1
21873,135000,3,2,1172,1,0,0,1
48586,125000,3,2,998,1,0,0,1
37047,115000,3,1,809,1,0,0,1
8586,152000,3,2,1390,1,0,0,1
18211,80000,4,3,1000,1,0,0,1
85121,112000,3,1,1027,1,0,0,1
12325,119000,3,2,1000,1,0,0,1
75895,121000,4,2,1257,1,0,0,1
18211,86400,3,2,1150,1,0,0,1
48763,425000,4,4,2906,1,0,1,0
37321,695000,3,3,2775,1,0,1,0
85121,125000,3,2,1277,1,0,0,1
75895,123000,3,1,1300,1,0,0,1
25107,106000,3,2,1129,1,0,0,1
48586,175000,3,3,1490,1,0,0,1
34754,85000,3,1,942,1,0,0,1
75895,201000,4,3,1944,1,0,1,0
46423,365000,4,3,2000,1,0,1,0
37826,895000,4,5,4000,1,1,0,0
3719,390000,4,3,1850,1,0,1,0
77432,2400000,4,7,3249,1,1,0,0
8373,585000,6,4,3173,1,1,0,0
84126,450000,4,5,2900,1,0,1,0
8586,168000,2,2,844,1,0,0,1
3464,135000,3,3,1730,1,0,1,0
8586,498000,3,3,2200,1,0,1,0
103848,255000,3,3,1692,1,0,1,0
8586,275000,3,2,1598,1,0,1,0
29911,289000,3,3,1601,1,0,1,0
60564,340000,3,4,2635,1,0,1,0
41020,270000,3,2,1335,1,0,0,1
72216,189900,2,2,1320,1,0,0,1
84126,1349000,3,5,4422,1,1,0,0
105759,390000,5,3,3000,1,1,0,0
75124,129000,3,2,1146,1,0,0,1
102922,126000,3,2,1200,1,0,0,1
102922,137000,3,1,950,1,0,0,1
29911,143000,4,3,147,1,0,0,1
102922,94900,3,1,950,1,0,0,1
60027,196500,4,3,1548,1,0,1,0
21485,750000,2,2,1324,1,0,0,1
103848,575000,2,2,1175,1,0,0,1
46469,499900,4,3,1640,1,0,1,0
103848,405000,3,3,1882,1,0,1,0
105542,465000,2,1,920,1,0,0,1
103848,120000,2,1,867,1,0,0,1
26765,1400000,3,3,2586,1,0,1,0
3719,750000,3,4,3642,1,1,0,0
103848,180000,1,1,666,1,0,0,1
103848,139000,3,2,1126,1,0,0,1
78468,450000,3,4,1889,1,0,1,0
103848,425000,3,2,1215,1,0,0,1
101,269000,1,1,674,1,0,0,1
105542,342000,2,1,747,1,0,0,1
48764,399000,2,2,1262,1,0,0,1
8677,125000,1,1,318,1,0,0,1
21873,520000,3,2,1530,1,0,1,0
21873,800000,3,3,1900,1,0,1,0
72216,799000,3,3,2080,1,0,1,0
103848,255000,2,2,1157,1,0,0,1
30325,425000,2,1,937,1,0,0,1
16842,145000,4,2,1219,1,0,0,1
29911,95100,4,2,246,1,0,0,1
29911,149000,4,2,1246,1,0,0,1
85121,95000,3,1,1060,1,0,0,1
18211,74900,3,2,1075,1,0,0,1
82827,395000,1,1,733,1,0,0,1
29911,145000,3,2,1209,1,0,0,1
29911,125000,3,1,1239,1,0,0,1
103848,170000,3,2,1226,1,0,0,1
60082,158000,3,2,1349,1,0,0,1
39523,205000,3,3,1725,1,0,1,0
102922,66000,4,2,1400,1,0,0,1
41709,175000,3,2,1321,1,0,0,1
102922,144900,4,2,1400,1,0,0,1
29911,165000,3,2,3100,1,1,0,0
29911,39000,3,1,505,1,0,0,1
29940,125000,3,2,1178,1,0,0,1
7922,280000,4,2,1509,1,0,1,0
29911,86000,3,1,247,1,0,0,1
87436,110000,3,2,1025,1,0,0,1
103848,445000,2,1,992,1,0,0,1
53016,215000,2,2,1136,1,0,0,1
8147,232900,2,2,1428,1,0,0,1
48733,975000,3,4,2074,1,0,1,0
48733,649900,4,3,2650,1,0,1,0
79067,215000,3,2,1828,1,0,1,0
30212,159900,2,2,1064,1,0,0,1
6569,775000,4,4,3175,1,1,0,0
37775,649999,3,2,2450,1,0,1,0
17792,389900,3,1,1559,1,0,1,0
30212,269900,2,1,1312,1,0,0,1
37775,314900,5,2,2219,1,0,1,0
26500,175000,2,2,1337,1,0,0,1
37775,244999,4,1,1285,1,0,0,1
12856,199000,2,2,1664,1,0,1,0
37427,881625,3,4,1813,1,0,1,0
110138,279000,6,3,3348,1,1,0,0
46733,589000,4,3,2964,1,0,1,0
17792,399900,3,3,1380,1,0,0,1
8147,359000,3,2,1670,1,0,1,0
17792,198000,2,1,768,1,0,0,1
53310,90000,2,2,1120,1,0,0,1
17792,299900,3,1,1424,1,0,0,1
22188,339000,2,1,1181,1,0,0,1
30212,119900,1,1,976,1,0,0,1
81218,369900,4,2,1733,1,0,1,0
48733,289900,3,2,1659,1,0,1,0
48733,580000,4,3,2583,1,0,1,0
13414,279000,3,1,1164,1,0,0,1
97152,319900,3,1,864,1,0,0,1
46733,264900,3,2,1776,1,0,1,0
99300,199000,3,1,1372,1,0,0,1
61569,203000,3,2,1248,1,0,0,1
107958,429900,2,3,2115,1,0,1,0
14000,338900,4,2,2208,1,0,1,0
12856,269000,6,2,2114,1,0,1,0
46733,219900,3,1,1257,1,0,0,1
21163,264900,4,2,1710,1,0,1,0
37427,499900,4,3,2618,1,0,1,0
22188,190000,3,2,1936,1,0,1,0
81218,340000,2,2,1350,1,0,0,1
108015,195500,4,2,2030,1,0,1,0
79346,499000,4,3,2579,1,0,1,0
68778,414900,6,4,3300,1,1,0,0
37775,109900,1,1,413,1,0,0,1
107905,425000,3,3,2032,1,0,1,0
84,349000,3,2,1901,1,0,1,0
93566,429900,3,3,1576,1,0,1,0
78217,375900,5,2,2442,1,0,1,0
78217,199900,3,1,1075,1,0,0,1
81669,339900,5,2,1962,1,0,1,0
20797,349900,3,2,1668,1,0,1,0
44514,250000,2,1,864,1,0,0,1
53310,414500,3,3,1586,1,0,1,0
106219,119900,3,2,1200,1,0,0,1
13835,299789,3,2,1260,1,0,0,1
48733,45000,2,1,980,1,0,0,1
22725,219000,4,1,1245,1,0,0,1
11297,410000,2,4,2831,1,0,1,0
79346,384900,3,2,1581,1,0,1,0
27510,435000,3,3,1357,1,0,0,1
80325,290000,3,2,1255,1,0,0,1
22188,289900,3,2,1498,1,0,0,1
6569,365000,3,3,2313,1,0,1,0
41067,319000,3,2,1558,1,0,1,0
107912,575000,3,2,2698,1,0,1,0
62476,75000,2,1,1081,1,0,0,1
53016,285000,3,2,1248,1,0,0,1
53016,235000,3,2,1220,1,0,0,1
107912,539000,3,3,3158,1,1,0,0
8147,379900,4,3,2128,1,0,1,0
80325,354900,4,2,2288,1,0,1,0
8147,194000,4,2,1572,1,0,1,0
53710,299900,3,2,1333,1,0,0,1
71852,375000,4,2,1892,1,0,1,0
68211,369900,4,3,2392,1,0,1,0
37775,219900,3,2,1344,1,0,0,1
67832,250000,3,1,1059,1,0,0,1
56729,249000,3,2,1128,1,0,0,1
78440,209900,5,2,1924,1,0,1,0
33592,469900,4,2,1872,1,0,1,0
79067,139900,1,1,470,1,0,0,1
95093,590000,4,3,3015,1,1,0,0
78440,85000,3,2,1056,1,0,0,1
107340,189000,3,1,1325,1,0,0,1
81218,275000,3,2,2233,1,0,1,0
81218,169900,4,2,2112,1,0,1,0
22789,550000,3,2,2014,1,0,1,0
30212,265000,2,1,924,1,0,0,1
102879,350000,3,2,1954,1,0,1,0
43744,269000,3,2,1337,1,0,0,1
8147,299900,3,1,1113,1,0,0,1
71852,225000,3,2,2351,1,0,1,0
65612,249000,2,1,1000,1,0,0,1
107912,429000,4,3,2308,1,0,1,0
8147,250000,3,1,1048,1,0,0,1
80325,268000,3,1,1196,1,0,0,1
98443,229900,4,2,1008,1,0,0,1
37775,265000,3,1,1321,1,0,0,1
46730,253000,3,1,1120,1,0,0,1
41067,287500,3,1,1172,1,0,0,1
46730,309900,7,3,3119,1,1,0,0
8147,299900,6,3,3096,1,1,0,0
44221,450000,6,7,5160,1,1,0,0
22637,325000,4,2,2035,1,0,1,0
22637,229900,6,3,3510,1,1,0,0
56729,114900,2,1,778,1,0,0,1
80325,217900,3,1,1265,1,0,0,1
71852,179900,2,2,1160,1,0,0,1
104883,265000,3,1,966,1,0,0,1
33714,209900,3,1,1040,1,0,0,1
67832,249900,4,2,1656,1,0,1,0
8147,227400,2,2,1333,1,0,0,1
22611,380000,3,2,1336,1,0,0,1
41067,230000,3,1,1120,1,0,0,1
37775,379488,3,2,1600,1,0,1,0
13414,245000,3,1,960,1,0,0,1
21163,299900,3,2,1153,1,0,0,1
71852,309900,4,2,1325,1,0,0,1
46730,319900,3,2,1504,1,0,1,0
30212,127500,1,1,730,1,0,0,1
79067,257000,3,3,1428,1,0,0,1
22789,149800,2,1,955,1,0,0,1
22637,290000,3,2,1421,1,0,0,1
7554,225000,3,1,1095,1,0,0,1
22611,375000,3,2,2600,1,0,1,0
33507,325000,4,2,1790,1,0,1,0
90212,250000,4,1,996,1,0,0,1
80325,220000,2,2,1280,1,0,0,1
37775,134999,2,1,945,1,0,0,1
92102,254900,2,2,1261,1,0,0,1
69078,279000,2,1,1312,1,0,0,1
41067,239900,5,2,2246,1,0,1,0
37775,415000,6,6,5496,1,1,0,0
37775,169500,2,1,740,1,0,0,1
30212,189900,2,1,935,1,0,0,1
22637,170000,2,1,836,1,0,0,1
85966,259900,2,3,1200,1,0,0,1
22700,129900,1,1,614,1,0,0,1
8147,184900,2,2,1050,1,0,0,1
67832,175000,2,1,850,1,0,0,1
61569,550000,4,2,3387,1,1,0,0
10198,239900,4,1,2253,1,0,1,0
65612,229000,4,1,1716,1,0,1,0
27510,495000,4,2,2912,1,0,1,0
22188,1250000,4,3,5306,1,1,0,0
54145,495500,3,2,2718,1,0,1,0
107912,495000,3,3,1921,1,0,1,0
10198,199900,4,2,2372,1,0,1,0
69377,219900,2,1,1138,1,0,0,1
99007,250000,3,2,1260,1,0,0,1
94287,259900,3,1,1553,1,0,1,0
96714,239900,3,2,1572,1,0,1,0
7906,149900,3,1,975,1,0,0,1
74001,100000,5,2,1800,1,0,1,0
8147,349900,4,2,1498,1,0,0,1
37775,569000,4,3,2245,1,0,1,0
22700,299000,4,2,2070,1,0,1,0
53016,279900,3,2,1267,1,0,0,1
59396,349000,6,4,3060,1,1,0,0
56729,389000,2,2,1799,1,0,1,0
2816,375000,3,3,2268,1,0,1,0
79346,189900,4,2,1944,1,0,1,0
26500,259900,3,1,1232,1,0,0,1
17792,315000,3,2,1350,1,0,0,1
30212,275000,8,3,3414,1,1,0,0
37775,239900,3,2,1536,1,0,1,0
48733,625000,4,2,2230,1,0,1,0
13548,429000,3,3,1893,1,0,1,0
99300,299000,2,1,838,1,0,0,1
37427,500000,11,6,4596,1,1,0,0
71852,179900,4,2,2268,1,0,1,0
73284,439900,4,4,2105,1,0,1,0
56729,529000,4,3,2904,1,0,1,0
71969,249000,2,1,988,1,0,0,1
27510,349900,2,2,1293,1,0,0,1
22626,439900,3,2,2850,1,0,1,0
39879,304900,3,2,1512,1,0,1,0
736,359000,3,2,1997,1,0,1,0
33592,209900,2,1,864,1,0,0,1
79346,700000,4,3,3327,1,1,0,0
736,425000,4,3,2454,1,0,1,0
68077,330000,2,2,1396,1,0,0,1
71852,229900,2,1,1340,1,0,0,1
75469,349900,3,3,1275,1,0,0,1
37775,425000,3,2,2212,1,0,1,0
33714,99900,2,2,1260,1,0,0,1
13548,419000,3,2,1484,1,0,0,1
46730,62500,2,1,630,1,0,0,1
8147,220000,6,2,2522,1,0,1,0
22700,2100000,4,4,4985,1,1,0,0
33507,210000,3,1,930,1,0,0,1
46733,349900,3,2,1824,1,0,1,0
53016,199000,4,1,1272,1,0,0,1
56729,259000,2,1,976,1,0,0,1
8147,259900,2,1,1040,1,0,0,1
33507,269900,3,1,1008,1,0,0,1
92102,244500,3,2,1757,1,0,1,0
61569,169900,3,1,1269,1,0,0,1
53016,225000,5,2,2112,1,0,1,0
43072,349900,3,2,1815,1,0,1,0
37775,259900,3,2,1349,1,0,0,1
80325,339000,3,2,1356,1,0,0,1
38155,274900,3,2,2100,1,0,1,0
